name,supply,blockNumber,timestamp
Pundi X Token,28036158.51009952906355082,15639175,1664456603
Dai Stablecoin,0.0,15639175,1664456603
Tether USD,154622.584843,15639175,1664456603
Coin98,0.0,15639175,1664456603
STASIS EURS Token,0.0,15639175,1664456603
ChainLink Token,0.0,15639175,1664456603
Pundi X Token,28036158.51009952906355082,15639176,1664456615
Tether USD,154622.584843,15639176,1664456615
Coin98,0.0,15639176,1664456615
STASIS EURS Token,0.0,15639176,1664456615
ChainLink Token,0.0,15639176,1664456615
Dai Stablecoin,0.0,15639176,1664456615
ChainLink Token,0.0,15639176,1664456615
STASIS EURS Token,0.0,15639176,1664456615
Coin98,0.0,15639176,1664456615
Tether USD,154622.584843,15639176,1664456615
Dai Stablecoin,0.0,15639176,1664456615
Pundi X Token,28036158.51009952906355082,15639176,1664456615
Pundi X Token,28036158.51009952906355082,15639176,1664456615
Coin98,0.0,15639176,1664456615
Dai Stablecoin,0.0,15639176,1664456615
Tether USD,154622.584843,15639176,1664456615
STASIS EURS Token,0.0,15639176,1664456615
ChainLink Token,0.0,15639176,1664456615
Dai Stablecoin,0.0,15639177,1664456627
Tether USD,154622.584843,15639177,1664456627
ChainLink Token,0.0,15639177,1664456627
Coin98,0.0,15639177,1664456627
STASIS EURS Token,0.0,15639177,1664456627
Pundi X Token,28036158.51009952906355082,15639177,1664456627
Pundi X Token,28036158.51009952906355082,15639178,1664456639
ChainLink Token,0.0,15639178,1664456639
Tether USD,154622.584843,15639178,1664456639
Coin98,0.0,15639178,1664456639
STASIS EURS Token,0.0,15639178,1664456639
Dai Stablecoin,0.0,15639178,1664456639
Coin98,0.0,15639178,1664456639
Pundi X Token,28036158.51009952906355082,15639178,1664456639
ChainLink Token,0.0,15639178,1664456639
Tether USD,154622.584843,15639178,1664456639
Dai Stablecoin,0.0,15639178,1664456639
STASIS EURS Token,0.0,15639178,1664456639
Coin98,0.0,15639178,1664456639
Tether USD,154622.584843,15639178,1664456639
STASIS EURS Token,0.0,15639178,1664456639
Dai Stablecoin,0.0,15639178,1664456639
Pundi X Token,28036158.51009952906355082,15639178,1664456639
ChainLink Token,0.0,15639178,1664456639
Tether USD,154622.584843,15639178,1664456639
Pundi X Token,28036158.51009952906355082,15639178,1664456639
Coin98,0.0,15639178,1664456639
STASIS EURS Token,0.0,15639178,1664456639
ChainLink Token,0.0,15639178,1664456639
Dai Stablecoin,0.0,15639178,1664456639
STASIS EURS Token,0.0,15639179,1664456651
Pundi X Token,28036158.51009952906355082,15639179,1664456651
Coin98,0.0,15639179,1664456651
Dai Stablecoin,0.0,15639179,1664456651
ChainLink Token,0.0,15639179,1664456651
Tether USD,154622.584843,15639179,1664456651
Pundi X Token,28036158.51009952906355082,15639180,1664456663
Tether USD,154622.584843,15639180,1664456663
Dai Stablecoin,0.0,15639180,1664456663
STASIS EURS Token,0.0,15639180,1664456663
ChainLink Token,0.0,15639180,1664456663
Coin98,0.0,15639180,1664456663
ChainLink Token,0.0,15639179,1664456651
STASIS EURS Token,0.0,15639179,1664456651
Tether USD,154622.584843,15639179,1664456651
Coin98,0.0,15639179,1664456651
Pundi X Token,28036158.51009952906355082,15639179,1664456651
Dai Stablecoin,0.0,15639179,1664456651
